mesAno,southeast,south,northeast,north
012019,273.84602150537637,273.8460887096774,93.40176075268818,62.853373655913984
012020,328.837688172043,328.83870967741933,341.8242607526882,328.82834677419356
012021,242.72049731182796,240.3701478494624,239.01826612903224,240.39737903225804
012022,62.90716397849462,62.917634408602154,57.22325268817204,55.70756720430108
012023,69.04,69.04,69.04,69.04
022019,499.6691071428572,499.66922619047625,350.8756101190476,52.111622023809524
022020,148.56262931034482,168.0366091954023,146.09186781609196,135.30418103448278
022021,165.98412202380953,164.39526785714284,162.68462797619048,162.49965773809524
022022,55.7,55.7,55.7,55.7
022023,69.04,69.04,69.04,68.93726190476191
032019,248.128373655914,248.12841397849462,176.55017473118278,43.30126344086021
032020,71.51029569892474,147.05521505376345,64.68198924731183,46.30310483870968
032021,109.02360215053763,110.27641129032257,78.01512096774194,55.57340053763441
032022,55.7,55.7,55.7,55.7
032023,69.04,69.04,69.04,69.04
042019,205.6572638888889,205.6573888888889,147.8536527777778,51.155
042020,39.68,39.68,39.68,39.68
042021,132.62815277777779,136.9235277777778,88.55172222222222,77.26880555555556
042022,55.7,55.7,55.7,55.7
042023,69.04,69.04,69.04,69.04
052019,147.29649193548386,150.34641129032258,92.57751344086022,47.91717741935484
052020,67.64325268817204,67.6434005376344,39.68,39.68
052021,218.7021505376344,226.15717741935484,189.3217607526882,189.11518817204302
052022,55.7,55.7,55.7,55.7
052023,69.04,69.04,69.04,69.04
062019,79.42438888888888,79.42427777777779,74.40843055555555,74.4083888888889
062020,106.36322222222223,106.36379166666666,70.89340277777778,71.54629166666668
062021,336.9879861111111,336.98833333333334,328.7559444444444,335.7225833333333
062022,55.713208333333334,55.713208333333334,55.713208333333334,55.713208333333334
062023,69.04,69.04,69.04,69.04
072019,208.56665322580645,208.56645161290322,207.49465053763439,207.8597446236559
072020,89.01330645161289,89.01313172043011,83.04270161290322,89.35322580645162
072021,583.8793413978494,583.8797715053763,583.8792607526882,583.8794086021505
072022,66.32060483870967,66.32047043010753,66.30209677419356,66.32068548387096
072023,69.04,69.04,69.04,69.04
082019,260.3411424731183,260.34125,249.41150537634408,255.19619623655913
082020,85.15063172043011,85.15041666666667,70.91067204301075,85.0870430107527
082021,583.8799059139785,583.8799059139785,583.8803897849463,583.8799059139785
082022,76.9045564516129,76.90430107526882,76.89926075268818,76.90469086021506
082023,69.04,69.04,69.04,69.04
092019,271.7149027777778,271.71486111111113,261.3755,265.6881388888889
092020,102.16574999999999,102.16554166666667,80.03898611111111,98.54627777777779
092021,577.37,577.3699444444444,570.388861111111,577.37
092022,56.075694444444444,56.075680555555564,56.07566666666667,56.075694444444444
102019,390.44036290322583,390.44017473118276,346.88104838709677,359.946935483871
102020,301.47907258064515,301.479126344086,187.4696102150538,301.90258064516127
102021,249.3640860215054,249.36364247311826,248.96784946236556,249.36479838709678
102022,55.7,55.7,55.7,55.7
112019,463.79143055555556,463.7911111111111,455.8938611111111,457.68252777777775
112020,505.8547222222223,505.85499999999996,307.42872222222223,505.85465277777774
112021,88.10430555555556,88.10434722222222,88.07647222222222,88.10431944444444
112022,55.7,55.7,55.7,55.7
122019,273.0460080645161,273.0461021505376,277.22610215053766,272.904126344086
122020,279.02396505376345,279.02397849462363,268.21272849462366,278.68512096774197
122021,66.66818548387097,66.66827956989246,66.4593817204301,66.31111559139785
122022,55.7,55.7,55.7,55.7
